date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:31	72/72	---M--	200	added ('OK')	text/plain	date:Tue,%2030%20Jul%202019%2006:25:10%20GMT	https://designreset.com/robots.txt		(from )
12:51:32	92747/92747	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/	D:/cs/cork/designreset.com/cork/ltr/demo4/index.html	(from )
12:51:32	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/img/favicon.ico	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/img/favicon.ico	(from https://designreset.com/cork/ltr/demo4/)
12:51:32	431/431	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/css/loader.css	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/css/loader.css	(from https://designreset.com/cork/ltr/demo4/)
12:51:33	156/156	---M--	200	added ('OK')	application/javascript	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/js/loader.js	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/js/loader.js	(from https://designreset.com/cork/ltr/demo4/)
12:51:33	346/346	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/css/plugins.css	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/css/plugins.css	(from https://designreset.com/cork/ltr/demo4/)
12:51:34	11469/11469	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/plugins/apex/apexcharts.css	D:/cs/cork/designreset.com/cork/ltr/demo4/plugins/apex/apexcharts.css	(from https://designreset.com/cork/ltr/demo4/)
12:51:35	26515/26515	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/css/dashboard/dash_1.css	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/css/dashboard/dash_1.css	(from https://designreset.com/cork/ltr/demo4/)
12:51:35	92747/92747	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/index.html	D:/cs/cork/designreset.com/cork/ltr/demo4/index-2.html	(from https://designreset.com/cork/ltr/demo4/)
12:51:36	1080/1080	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/img/MAR.png	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/img/MAR.png	(from https://designreset.com/cork/ltr/demo4/)
12:51:36	816/816	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/img/ca.png	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/img/ca.png	(from https://designreset.com/cork/ltr/demo4/)
12:51:36	469/469	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/img/de.png	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/img/de.png	(from https://designreset.com/cork/ltr/demo4/)
12:51:37	160403/160403	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/bootstrap/css/bootstrap.min.css	D:/cs/cork/designreset.com/cork/ltr/demo4/bootstrap/css/bootstrap.min.css	(from https://designreset.com/cork/ltr/demo4/)
12:51:37	609/609	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/img/jp.png	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/img/jp.png	(from https://designreset.com/cork/ltr/demo4/)
